List of packages in environment: "/opt/conda"

  Name                               Version       Build                    Channel    
  bioconductor-beachmat              2.16.0        r43hf17093f_0            bioconda   
  bioconductor-biobase               2.60.0        r43ha9d7317_0            bioconda   
  bioconductor-biocfilecache         2.8.0         r43hdfd78af_0            bioconda   
  bioconductor-biocgenerics          0.46.0        r43hdfd78af_0            bioconda   
  bioconductor-biocneighbors         1.18.0        r43hf17093f_0            bioconda   
  bioconductor-biocparallel          1.34.2        r43hf17093f_0            bioconda   
  bioconductor-biocsingular          1.16.0        r43hf17093f_0            bioconda   
  bioconductor-bluster               1.10.0        r43hf17093f_0            bioconda   
  bioconductor-complexheatmap        2.16.0        r43hdfd78af_0            bioconda   
  bioconductor-data-packages         20230718      hdfd78af_1               bioconda   
  bioconductor-delayedarray          0.26.6        r43ha9d7317_0            bioconda   
  bioconductor-delayedmatrixstats    1.22.1        r43hdfd78af_0            bioconda   
  bioconductor-densvis               1.10.2        r43hf17093f_0            bioconda   
  bioconductor-dir.expiry            1.8.0         r43hdfd78af_0            bioconda   
  bioconductor-edger                 3.42.4        r43hf17093f_0            bioconda   
  bioconductor-genomeinfodb          1.36.1        r43hdfd78af_0            bioconda   
  bioconductor-genomeinfodbdata      1.2.10        r43hdfd78af_0            bioconda   
  bioconductor-genomicranges         1.52.0        r43ha9d7317_0            bioconda   
  bioconductor-iranges               2.34.1        r43ha9d7317_0            bioconda   
  bioconductor-limma                 3.56.2        r43ha9d7317_0            bioconda   
  bioconductor-matrixgenerics        1.12.2        r43hdfd78af_0            bioconda   
  bioconductor-metapod               1.8.0         r43hf17093f_0            bioconda   
  bioconductor-rhdf5                 2.44.0        r43hf17093f_0            bioconda   
  bioconductor-rhdf5filters          1.12.1        r43hf17093f_0            bioconda   
  bioconductor-rhdf5lib              1.22.0        r43ha9d7317_0            bioconda   
  bioconductor-s4arrays              1.0.4         r43ha9d7317_0            bioconda   
  bioconductor-s4vectors             0.38.1        r43ha9d7317_0            bioconda   
  bioconductor-scaledmatrix          1.8.1         r43hdfd78af_0            bioconda   
  bioconductor-scater                1.28.0        r43hdfd78af_0            bioconda   
  bioconductor-scran                 1.28.1        r43hf17093f_0            bioconda   
  bioconductor-scuttle               1.10.1        r43hf17093f_0            bioconda   
  bioconductor-singlecellexperiment  1.22.0        r43hdfd78af_0            bioconda   
  bioconductor-sparsematrixstats     1.12.2        r43hf17093f_0            bioconda   
  bioconductor-summarizedexperiment  1.30.2        r43hdfd78af_0            bioconda   
  bioconductor-xvector               0.40.0        r43ha9d7317_0            bioconda   
  bioconductor-zlibbioc              1.46.0        r43ha9d7317_0            bioconda   
  biothings_client                   0.2.6         pyhd8ed1ab_0             conda-forge
  bleach                             6.0.0         pyhd8ed1ab_0             conda-forge
  blosc                              1.21.5        h0f2a231_0               conda-forge
  bokeh                              3.2.2         pyhd8ed1ab_0             conda-forge
  boltons                            23.0.0        pyhd8ed1ab_0             conda-forge
  brotli                             1.1.0         hd590300_0               conda-forge
  brotli-bin                         1.1.0         hd590300_0               conda-forge
  brotli-python                      1.1.0         py310hc6cd4ac_0          conda-forge
  brunsli                            0.1           h9c3ff4c_0               conda-forge
  bwidget                            1.9.14        ha770c72_1               conda-forge
  bzip2                              1.0.8         h7f98852_4               conda-forge
  c-ares                             1.19.1        hd590300_0               conda-forge
  c-blosc2                           2.10.2        hb4ffafa_0               conda-forge
  ca-certificates                    2023.7.22     hbcca054_0               conda-forge
  cached-property                    1.5.2         hd8ed1ab_1               conda-forge
  cached_property                    1.5.2         pyha770c72_1             conda-forge
  cachetools                         5.3.1         pyhd8ed1ab_0             conda-forge
  cairo                              1.16.0        hbbf8b49_1016            conda-forge
  cattrs                             23.1.2        pyhd8ed1ab_0             conda-forge
  certifi                            2023.7.22     pyhd8ed1ab_0             conda-forge
  cffi                               1.15.1        py310h255011f_3          conda-forge
  charls                             2.4.2         h59595ed_0               conda-forge
  charset-normalizer                 3.2.0         pyhd8ed1ab_0             conda-forge
  click                              8.1.7         unix_pyh707e725_0        conda-forge
  cloudpickle                        2.2.1         pyhd8ed1ab_0             conda-forge
  colorama                           0.4.6         pyhd8ed1ab_0             conda-forge
  colorcet                           3.0.1         pyhd8ed1ab_0             conda-forge
  comm                               0.1.4         pyhd8ed1ab_0             conda-forge
  conda                              23.7.3        py310hff52083_0          conda-forge
  conda-package-handling             2.2.0         pyh38be061_0             conda-forge
  conda-package-streaming            0.9.0         pyhd8ed1ab_0             conda-forge
  contourpy                          1.1.0         py310hd41b1e2_0          conda-forge
  cryptography                       41.0.3        py310h75e40e8_0          conda-forge
  curl                               8.2.1         hca28451_0               conda-forge
  cycler                             0.11.0        pyhd8ed1ab_0             conda-forge
  cytoolz                            0.12.2        py310h2372a71_0          conda-forge
  dask                               2023.9.1      pyhd8ed1ab_0             conda-forge
  dask-core                          2023.9.1      pyhd8ed1ab_0             conda-forge
  dask-image                         2023.3.0      pyhd8ed1ab_0             conda-forge
  dav1d                              1.2.1         hd590300_0               conda-forge
  dbus                               1.13.6        h5008d03_3               conda-forge
  debugpy                            1.7.0         py310hc6cd4ac_0          conda-forge
  decorator                          5.1.1         pyhd8ed1ab_0             conda-forge
  defusedxml                         0.7.1         pyhd8ed1ab_0             conda-forge
  distributed                        2023.9.1      pyhd8ed1ab_0             conda-forge
  docopt                             0.6.2         py_1                     conda-forge
  docrep                             0.3.2         pyh44b312d_0             conda-forge
  dunamai                            1.18.0        pyhd8ed1ab_0             conda-forge
  entrypoints                        0.4           pyhd8ed1ab_0             conda-forge
  et_xmlfile                         1.1.0         pyhd8ed1ab_0             conda-forge
  exceptiongroup                     1.1.3         pyhd8ed1ab_0             conda-forge
  executing                          1.2.0         pyhd8ed1ab_0             conda-forge
  expat                              2.5.0         hcb278e6_1               conda-forge
  fasteners                          0.17.3        pyhd8ed1ab_0             conda-forge
  font-ttf-dejavu-sans-mono          2.37          hab24e00_0               conda-forge
  font-ttf-inconsolata               3.000         h77eed37_0               conda-forge
  font-ttf-source-code-pro           2.038         h77eed37_0               conda-forge
  font-ttf-ubuntu                    0.83          hab24e00_0               conda-forge
  fontconfig                         2.14.2        h14ed4e7_0               conda-forge
  fonts-conda-ecosystem              1             0                        conda-forge
  fonts-conda-forge                  1             0                        conda-forge
  fonttools                          4.42.1        py310h2372a71_0          conda-forge
  fqdn                               1.5.1         pyhd8ed1ab_0             conda-forge
  freetype                           2.12.1        hca18f0e_1               conda-forge
  fribidi                            1.0.10        h36c2ea0_0               conda-forge
  frozendict                         2.3.8         py310h2372a71_0          conda-forge
  frozenlist                         1.4.0         py310h2372a71_0          conda-forge
  fsspec                             2023.9.0      pyh1a96a4e_0             conda-forge
  gcc_impl_linux-64                  13.2.0        h338b0a0_0               conda-forge
  gdk-pixbuf                         2.42.10       h6b639ba_2               conda-forge
  geos                               3.12.0        h59595ed_0               conda-forge
  get_version                        3.5.4         pyhd8ed1ab_0             conda-forge
  gettext                            0.21.1        h27087fc_0               conda-forge
  gflags                             2.2.2         he1b5a44_1004            conda-forge
  gfortran_impl_linux-64             13.2.0        h76e1118_0               conda-forge
  giflib                             5.2.1         h0b41bf4_3               conda-forge
  git                                2.42.0        pl5321h86e50cf_0         conda-forge
  glib                               2.78.0        hfc55251_0               conda-forge
  glib-tools                         2.78.0        hfc55251_0               conda-forge
  glog                               0.6.0         h6f12383_0               conda-forge
  glpk                               5.0           h445213a_0               conda-forge
  gmp                                6.2.1         h58526e2_0               conda-forge
  goatools                           1.3.1         pyhd8ed1ab_0             conda-forge
  graphite2                          1.3.13        h58526e2_1001            conda-forge
  graphviz                           8.1.0         h28d9a01_0               conda-forge
  gsl                                2.7           he838d99_0               conda-forge
  gst-plugins-base                   1.22.5        hf7dbed1_0               conda-forge
  gstreamer                          1.22.5        h98fc4e7_0               conda-forge
  gtk2                               2.24.33       h90689f9_2               conda-forge
  gts                                0.7.6         h977cf35_4               conda-forge
  gxx_impl_linux-64                  13.2.0        h338b0a0_0               conda-forge
  h5py                               3.9.0         nompi_py310ha2ad45a_102  conda-forge
  harfbuzz                           7.3.0         hdb3a94d_0               conda-forge
  hdf5                               1.14.2        nompi_h4f84152_100       conda-forge
  icu                                72.1          hcb278e6_0               conda-forge
  idna                               3.4           pyhd8ed1ab_0             conda-forge
  igraph                             0.10.7        h27e60f0_0               conda-forge
  imagecodecs                        2023.9.4      py310hedc1555_0          conda-forge
  imageio                            2.31.1        pyh24c5eb1_0             conda-forge
  importlib-metadata                 6.8.0         pyha770c72_0             conda-forge
  importlib_metadata                 6.8.0         hd8ed1ab_0               conda-forge
  importlib_resources                6.0.1         pyhd8ed1ab_0             conda-forge
  inflect                            7.0.0         pyhd8ed1ab_0             conda-forge
  ipykernel                          6.25.2        pyh2140261_0             conda-forge
  ipython                            8.15.0        pyh0d859eb_0             conda-forge
  isoduration                        20.11.0       pyhd8ed1ab_0             conda-forge
  itsdangerous                       2.1.2         pyhd8ed1ab_0             conda-forge
  jedi                               0.19.0        pyhd8ed1ab_0             conda-forge
  jinja2                             3.1.2         pyhd8ed1ab_1             conda-forge
  joblib                             1.3.2         pyhd8ed1ab_0             conda-forge
  jq                                 1.6           h36c2ea0_1000            conda-forge
  json5                              0.9.14        pyhd8ed1ab_0             conda-forge
  jsonpatch                          1.32          pyhd8ed1ab_0             conda-forge
  jsonpointer                        2.0           py_0                     conda-forge
  jsonschema                         4.19.0        pyhd8ed1ab_1             conda-forge
  jsonschema-specifications          2023.7.1      pyhd8ed1ab_0             conda-forge
  jsonschema-with-format-nongpl      4.19.0        pyhd8ed1ab_1             conda-forge
  jupyter-lsp                        2.2.0         pyhd8ed1ab_0             conda-forge
  jupyter_client                     8.3.1         pyhd8ed1ab_0             conda-forge
  jupyter_core                       5.3.1         py310hff52083_0          conda-forge
  jupyter_events                     0.7.0         pyhd8ed1ab_2             conda-forge
  jupyter_server                     2.7.3         pyhd8ed1ab_0             conda-forge
  jupyter_server_terminals           0.4.4         pyhd8ed1ab_1             conda-forge
  jupyterlab                         4.0.5         pyhd8ed1ab_0             conda-forge
  jupyterlab_pygments                0.2.2         pyhd8ed1ab_0             conda-forge
  jupyterlab_server                  2.24.0        pyhd8ed1ab_0             conda-forge
  jxrlib                             1.1           h7f98852_2               conda-forge
  kernel-headers_linux-64            2.6.32        he073ed8_16              conda-forge
  keyutils                           1.6.1         h166bdaf_0               conda-forge
  kiwisolver                         1.4.5         py310hd41b1e2_0          conda-forge
  krb5                               1.21.2        h659d440_0               conda-forge
  lame                               3.100         h166bdaf_1003            conda-forge
  lazy_loader                        0.3           pyhd8ed1ab_0             conda-forge
  lcms2                              2.15          haa2dc70_1               conda-forge
  ld_impl_linux-64                   2.40          h41732ed_0               conda-forge
  legacy-api-wrap                    1.2           py_0                     conda-forge
  leidenalg                          0.10.1        py310hc6cd4ac_0          conda-forge
  lerc                               4.0.0         h27087fc_0               conda-forge
  libabseil                          20230802.0    cxx17_h59595ed_3         conda-forge
  libaec                             1.0.6         hcb278e6_1               conda-forge
  libarrow                           13.0.0        h1935d02_4_cpu           conda-forge
  libavif16                          1.0.1         h014f275_1               conda-forge
  libblas                            3.9.0         18_linux64_openblas      conda-forge
  libbrotlicommon                    1.1.0         hd590300_0               conda-forge
  libbrotlidec                       1.1.0         hd590300_0               conda-forge
  libbrotlienc                       1.1.0         hd590300_0               conda-forge
  libcap                             2.69          h0f662aa_0               conda-forge
  libcblas                           3.9.0         18_linux64_openblas      conda-forge
  libcbor                            0.10.2        hcb278e6_0               conda-forge
  libclang                           15.0.7        default_h7634d5b_3       conda-forge
  libclang13                         15.0.7        default_h9986a30_3       conda-forge
  libcrc32c                          1.1.2         h9c3ff4c_0               conda-forge
  libcups                            2.3.3         h4637d8d_4               conda-forge
  libcurl                            8.2.1         hca28451_0               conda-forge
  libdeflate                         1.18          h0b41bf4_0               conda-forge
  libedit                            3.1.20191231  he28a2e2_2               conda-forge
  libev                              4.33          h516909a_1               conda-forge
  libevent                           2.1.12        hf998b51_1               conda-forge
  libexpat                           2.5.0         hcb278e6_1               conda-forge
  libffi                             3.4.2         h7f98852_5               conda-forge
  libfido2                           1.13.0        h2e5b2a7_0               conda-forge
  libflac                            1.4.3         h59595ed_0               conda-forge
  libgcc-devel_linux-64              13.2.0        ha9c7c90_0               conda-forge
  libgcc-ng                          13.2.0        h807b86a_0               conda-forge
  libgcrypt                          1.10.1        h166bdaf_0               conda-forge
  libgd                              2.3.3         hfa28ad5_6               conda-forge
  libgfortran-ng                     13.2.0        h69a702a_0               conda-forge
  libgfortran5                       13.2.0        ha4646dd_0               conda-forge
  libgit2                            1.7.1         hca3a8ce_0               conda-forge
  libglib                            2.78.0        hebfc3b9_0               conda-forge
  libgomp                            13.2.0        h807b86a_0               conda-forge
  libgoogle-cloud                    2.12.0        h8d7e28b_2               conda-forge
  libgpg-error                       1.47          h71f35ed_0               conda-forge
  libgrpc                            1.57.0        ha4d0f93_1               conda-forge
  libhwloc                           2.9.2         default_h554bfaf_1009    conda-forge
  libiconv                           1.17          h166bdaf_0               conda-forge
  libjpeg-turbo                      2.1.5.1       h0b41bf4_0               conda-forge
  liblapack                          3.9.0         18_linux64_openblas      conda-forge
  libleidenalg                       0.11.1        h00ab1b0_0               conda-forge
  libllvm11                          11.1.0        he0ac6c6_5               conda-forge
  libllvm15                          15.0.7        h5cf9203_3               conda-forge
  libnghttp2                         1.52.0        h61bc06f_0               conda-forge
  libnsl                             2.0.0         h7f98852_0               conda-forge
  libnuma                            2.0.16        h0b41bf4_1               conda-forge
  libogg                             1.3.4         h7f98852_1               conda-forge
  libopenblas                        0.3.24        pthreads_h413a1c8_0      conda-forge
  libopus                            1.3.1         h7f98852_1               conda-forge
  libpng                             1.6.39        h753d276_0               conda-forge
  libpq                              15.4          hfc447b1_0               conda-forge
  libprotobuf                        4.23.4        hf27288f_6               conda-forge
  librsvg                            2.56.3        h98fae49_0               conda-forge
  libsanitizer                       13.2.0        h7e041cc_0               conda-forge
  libsndfile                         1.2.2         hbc2eb40_0               conda-forge
  libsodium                          1.0.18        h36c2ea0_1               conda-forge
  libsqlite                          3.43.0        h2797004_0               conda-forge
  libssh2                            1.11.0        h0841786_0               conda-forge
  libstdcxx-devel_linux-64           13.2.0        ha9c7c90_0               conda-forge
  libstdcxx-ng                       13.2.0        h7e041cc_0               conda-forge
  libsystemd0                        254           h3516f8a_0               conda-forge
  libthrift                          0.19.0        h8fd135c_0               conda-forge
  libtiff                            4.5.1         h8b53f26_1               conda-forge
  libtool                            2.4.7         h27087fc_0               conda-forge
  libudev1                           254           h3f72095_0               conda-forge
  libutf8proc                        2.8.0         h166bdaf_0               conda-forge
  libuuid                            2.38.1        h0b41bf4_0               conda-forge
  libvorbis                          1.3.7         h9c3ff4c_0               conda-forge
  libwebp                            1.3.1         hbf2b3c1_0               conda-forge
  libwebp-base                       1.3.1         hd590300_0               conda-forge
  libxcb                             1.15          h0b41bf4_0               conda-forge
  libxgboost                         1.7.6         cpu_h6728c87_2           conda-forge
  libxkbcommon                       1.5.0         h5d7e998_3               conda-forge
  libxml2                            2.11.5        h0d562d8_0               conda-forge
  libxslt                            1.1.37        h0054252_1               conda-forge
  libzlib                            1.2.13        hd590300_5               conda-forge
  libzopfli                          1.0.3         h9c3ff4c_0               conda-forge
  llvmlite                           0.38.1        py310h58363a5_0          conda-forge
  locket                             1.0.0         pyhd8ed1ab_0             conda-forge
  lxml                               4.9.3         py310h9b7343a_0          conda-forge
  lz4                                4.3.2         py310h0cfdcf0_0          conda-forge
  lz4-c                              1.9.4         hcb278e6_0               conda-forge
  lzo                                2.10          h516909a_1000            conda-forge
  make                               4.3           hd18ef5c_1               conda-forge
  markupsafe                         2.1.3         py310h2372a71_0          conda-forge
  matplotlib                         3.6.3         py310hff52083_0          conda-forge
  matplotlib-base                    3.6.3         py310he60537e_0          conda-forge
  matplotlib-inline                  0.1.6         pyhd8ed1ab_0             conda-forge
  matplotlib-scalebar                0.8.1         pyhd8ed1ab_0             conda-forge
  mistune                            3.0.1         pyhd8ed1ab_0             conda-forge
  mpg123                             1.31.3        hcb278e6_0               conda-forge
  msgpack-python                     1.0.5         py310hdf3cbec_0          conda-forge
  multidict                          6.0.4         py310h1fa729e_0          conda-forge
  munkres                            1.1.4         pyh9f0ad1d_0             conda-forge
  mygene                             3.2.2         pyh5e36f6f_0             bioconda   
  mysql-common                       8.0.33        hf1915f5_4               conda-forge
  mysql-libs                         8.0.33        hca2cd23_4               conda-forge
  natsort                            8.4.0         pyhd8ed1ab_0             conda-forge
  nbclient                           0.8.0         pyhd8ed1ab_0             conda-forge
  nbconvert-core                     7.8.0         pyhd8ed1ab_0             conda-forge
  nbformat                           5.9.2         pyhd8ed1ab_0             conda-forge
  ncurses                            6.4           hcb278e6_0               conda-forge
  nest-asyncio                       1.5.6         pyhd8ed1ab_0             conda-forge
  networkx                           2.8.8         pyhd8ed1ab_0             conda-forge
  nlopt                              2.7.1         py310h3342525_3          conda-forge
  nomkl                              1.0           h5ca1d4c_0               conda-forge
  notebook-shim                      0.2.3         pyhd8ed1ab_0             conda-forge
  nspr                               4.35          h27087fc_0               conda-forge
  nss                                3.92          h1d7d5a4_0               conda-forge
  numba                              0.55.2        py310ha5257ce_0          conda-forge
  numcodecs                          0.11.0        py310heca2aa9_1          conda-forge
  numexpr                            2.8.4         py310hd91493a_101        conda-forge
  numpy                              1.22.4        py310h4ef5377_0          conda-forge
  omnipath                           1.0.7         pyhd8ed1ab_0             conda-forge
  oniguruma                          6.9.8         h166bdaf_0               conda-forge
  openjpeg                           2.5.0         hfec8fc6_2               conda-forge
  openpyxl                           3.1.2         py310h2372a71_0          conda-forge
  openssh                            9.3p1         h2d3b35a_2               conda-forge
  openssl                            3.1.2         hd590300_0               conda-forge
  orc                                1.9.0         h52d3b3c_2               conda-forge
  overrides                          7.4.0         pyhd8ed1ab_0             conda-forge
  packaging                          23.1          pyhd8ed1ab_0             conda-forge
  pandas                             1.5.3         py310h9b08913_1          conda-forge
  pandoc                             3.1.3         h32600fe_0               conda-forge
  pandocfilters                      1.5.0         pyhd8ed1ab_0             conda-forge
  pango                              1.50.14       heaa33ce_1               conda-forge
  param                              1.13.0        pyh1a96a4e_0             conda-forge
  parso                              0.8.3         pyhd8ed1ab_0             conda-forge
  partd                              1.4.0         pyhd8ed1ab_0             conda-forge
  patsy                              0.5.3         pyhd8ed1ab_0             conda-forge
  pcre2                              10.40         hc3806b6_0               conda-forge
  perl                               5.32.1        4_hd590300_perl5         conda-forge
  pexpect                            4.8.0         pyh1a96a4e_2             conda-forge
  pickleshare                        0.7.5         py_1003                  conda-forge
  pillow                             10.0.0        py310h582fbeb_0          conda-forge
  pims                               0.6.1         pyhd8ed1ab_1             conda-forge
  pip                                23.2.1        pyhd8ed1ab_0             conda-forge
  pixman                             0.40.0        h36c2ea0_0               conda-forge
  pkgutil-resolve-name               1.3.10        pyhd8ed1ab_0             conda-forge
  platformdirs                       3.10.0        pyhd8ed1ab_0             conda-forge
  pluggy                             1.3.0         pyhd8ed1ab_0             conda-forge
  ply                                3.11          py_1                     conda-forge
  pooch                              1.7.0         pyha770c72_3             conda-forge
  prometheus_client                  0.17.1        pyhd8ed1ab_0             conda-forge
  prompt-toolkit                     3.0.39        pyha770c72_0             conda-forge
  prompt_toolkit                     3.0.39        hd8ed1ab_0               conda-forge
  psutil                             5.9.5         py310h1fa729e_0          conda-forge
  pthread-stubs                      0.4           h36c2ea0_1001            conda-forge
  ptyprocess                         0.7.0         pyhd3deb0d_0             conda-forge
  pulseaudio-client                  16.1          hb77b528_5               conda-forge
  pure_eval                          0.2.2         pyhd8ed1ab_0             conda-forge
  py-cpuinfo                         9.0.0         pyhd8ed1ab_0             conda-forge
  pyarrow                            13.0.0        py310hf9e7431_4_cpu      conda-forge
  pycosat                            0.6.4         py310h5764c6d_1          conda-forge
  pycparser                          2.21          pyhd8ed1ab_0             conda-forge
  pyct                               0.4.6         py_0                     conda-forge
  pyct-core                          0.4.6         py_0                     conda-forge
  pydantic                           2.3.0         pyhd8ed1ab_0             conda-forge
  pydantic-core                      2.6.3         py310hcb5633a_0          conda-forge
  pydot                              1.4.2         py310hff52083_3          conda-forge
  pygments                           2.16.1        pyhd8ed1ab_0             conda-forge
  pyld                               2.0.3         pyhd8ed1ab_1             conda-forge
  pynndescent                        0.5.10        pyh1a96a4e_0             conda-forge
  pyopenssl                          23.2.0        pyhd8ed1ab_1             conda-forge
  pyparsing                          3.1.1         pyhd8ed1ab_0             conda-forge
  pyqt                               5.15.9        py310h04931ad_4          conda-forge
  pyqt5-sip                          12.12.2       py310hc6cd4ac_4          conda-forge
  pysocks                            1.7.1         pyha2e5f31_6             conda-forge
  pytables                           3.8.0         py310h374b01c_3          conda-forge
  python                             3.10.12       hd12c33a_0_cpython       conda-forge
  python-dateutil                    2.8.2         pyhd8ed1ab_0             conda-forge
  python-fastjsonschema              2.18.0        pyhd8ed1ab_0             conda-forge
  python-igraph                      0.10.6        py310hb1c7c39_2          conda-forge
  python-json-logger                 2.0.7         pyhd8ed1ab_0             conda-forge
  python_abi                         3.10          3_cp310                  conda-forge
  pytz                               2023.3.post1  pyhd8ed1ab_0             conda-forge
  pywavelets                         1.4.1         py310h0a54255_0          conda-forge
  pyyaml                             6.0.1         py310h2372a71_0          conda-forge
  pyzmq                              25.1.1        py310h5bbb5d0_0          conda-forge
  qt-main                            5.15.8        h7fe3ca9_15              conda-forge
  r                                  4.3           r43hd8ed1ab_1007         conda-forge
  r-abind                            1.4_5         r43hc72bb7e_1005         conda-forge
  r-askpass                          1.2.0         r43h57805ef_0            conda-forge
  r-assertthat                       0.2.1         r43hc72bb7e_4            conda-forge
  r-backports                        1.4.1         r43h57805ef_2            conda-forge
  r-base                             4.3.1         h29c4799_3               conda-forge
  r-base64enc                        0.1_3         r43h57805ef_1006         conda-forge
  r-beeswarm                         0.4.0         r43h57805ef_3            conda-forge
  r-bh                               1.81.0_1      r43hc72bb7e_1            conda-forge
  r-biocmanager                      1.30.22       r43hc72bb7e_0            conda-forge
  r-bit                              4.0.5         r43h57805ef_1            conda-forge
  r-bit64                            4.0.5         r43h57805ef_2            conda-forge
  r-bitops                           1.0_7         r43h57805ef_2            conda-forge
  r-blob                             1.2.4         r43hc72bb7e_1            conda-forge
  r-boot                             1.3_28.1      r43hc72bb7e_1            conda-forge
  r-brew                             1.0_8         r43hc72bb7e_2            conda-forge
  r-brio                             1.1.3         r43h57805ef_2            conda-forge
  r-broom                            1.0.5         r43hc72bb7e_1            conda-forge
  r-bslib                            0.5.1         r43hc72bb7e_0            conda-forge
  r-cachem                           1.0.8         r43h57805ef_1            conda-forge
  r-cairo                            1.6_1         r43he7aa0cf_0            conda-forge
  r-callr                            3.7.3         r43hc72bb7e_1            conda-forge
  r-car                              3.1_2         r43hc72bb7e_1            conda-forge
  r-cardata                          3.0_5         r43hc72bb7e_2            conda-forge
  r-caret                            6.0_94        r43h57805ef_1            conda-forge
  r-cellranger                       1.1.0         r43hc72bb7e_1006         conda-forge
  r-circlize                         0.4.15        r43hc72bb7e_2            conda-forge
  r-class                            7.3_22        r43h57805ef_1            conda-forge
  r-cli                              3.6.1         r43ha503ecb_1            conda-forge
  r-clipr                            0.8.0         r43hc72bb7e_2            conda-forge
  r-clock                            0.7.0         r43ha503ecb_1            conda-forge
  r-clue                             0.3_64        r43h57805ef_1            conda-forge
  r-cluster                          2.1.4         r43h61816a4_1            conda-forge
  r-coda                             0.19_4        r43hc72bb7e_2            conda-forge
  r-codetools                        0.2_19        r43hc72bb7e_1            conda-forge
  r-colorspace                       2.1_0         r43h57805ef_1            conda-forge
  r-commonmark                       1.9.0         r43h57805ef_1            conda-forge
  r-conquer                          1.3.3         r43h08d816e_2            conda-forge
  r-corrplot                         0.92          r43hc72bb7e_2            conda-forge
  r-cowplot                          1.1.1         r43hc72bb7e_2            conda-forge
  r-cpp11                            0.4.6         r43hc72bb7e_0            conda-forge
  r-crayon                           1.5.2         r43hc72bb7e_2            conda-forge
  r-credentials                      2.0.1         r43hc72bb7e_0            conda-forge
  r-curl                             5.0.2         r43hf9611b0_0            conda-forge
  r-data.table                       1.14.8        r43h029312a_2            conda-forge
  r-dbi                              1.1.3         r43hc72bb7e_2            conda-forge
  r-dbplyr                           2.3.3         r43hc72bb7e_0            conda-forge
  r-desc                             1.4.2         r43hc72bb7e_2            conda-forge
  r-devtools                         2.4.5         r43hc72bb7e_2            conda-forge
  r-diagram                          1.6.5         r43ha770c72_2            conda-forge
  r-diffobj                          0.3.5         r43h57805ef_2            conda-forge
  r-digest                           0.6.33        r43ha503ecb_0            conda-forge
  r-dirichletreg                     0.7_1         r43h57805ef_2            conda-forge
  r-doparallel                       1.0.17        r43hc72bb7e_2            conda-forge
